用例名称,page,size,预期响应状态码,errno,data,errmsg
获取轮播图-正常请求,,,200,0,包含轮播图列表,成功
获取新品列表-正常请求,,,200,0,包含新品列表,成功
获取热门商品-正常请求,,,200,0,包含热门商品列表,成功
获取分类导航-正常请求,,,200,0,包含分类导航列表,成功
获取品牌制造商-正常请求,,,200,0,包含品牌制造商列表,成功
获取首页专题-正常请求,,,200,0,返回首页专题列表,成功
获取首页专题-分页查询,1,10,200,0,返回指定页码和大小的专题列表,成功
获取首页专题-无效页码,-1,10,4xx,!=0,,页码必须大于0
获取首页专题-无效页面大小,1,0,4xx,!=0,,页面大小必须大于0
获取首页推荐商品-正常请求,,,200,0,返回推荐商品列表,成功
获取首页推荐商品-分页查询,1,10,200,0,返回指定页码和大小的推荐商品列表,成功
获取首页推荐商品-无效页码,-1,10,4xx,!=0,,页码必须大于0
获取首页推荐商品-无效页面大小,1,0,4xx,!=0,,页面大小必须大于0
获取楼层数据-正常请求,,,200,0,返回首页楼层数据,成功
响应时间-首页数据加载性能,,,200,0,响应时间<=1000ms,成功
数据完整性-所有字段存在,,,200,0,返回数据包含所有必需字段，无缺失,成功
首页数据缓存-重复请求,,,200,0,第二次请求响应时间明显小于第一次，确认缓存生效,成功
